WC ID;SKU WC;Nombre WC;Odoo ID;Referencia Odoo;Nombre Odoo;Variantes;Tipo Odoo
8302;MH 4,25x13 H;MIGHTY HOOP 4,25 X 13;971;MH 4,25x13 H;MIGHTY HOOP 4,25 X 13;1;product
8306;MH 4,25;MIGHTY HOOP 4,25;973;MH 4,25;MIGHTY HOOP 4,25;1;product
8308;MH 4,25X16;MIGHTY HOOP 4,25X16;974;MH 4,25X16;MIGHTY HOOP 4,25X16;1;product
8310;MH 4,25X13 SL;MIGHTY HOOP 4,25X13 SL;975;MH 4,25X13 SL;MIGHTY HOOP 4,25X13 SL;1;product
8312;MH 5,5;MIGHTY HOOP 5,5;976;MH 5,5;MIGHTY HOOP 5,5;1;product
8314;MH 6,5;MIGHTY HOOP 6,5;977;MH 6,5;MIGHTY HOOP 6,5;1;product
8316;MH 7,25;MIGHTY HOOP 7,25;978;MH 7,25;MIGHTY HOOP 7,25;1;product
8318;FRA40093;BASTIDOR HAPPYJAPAN DE 32X32 CM.;985;FRA40093;BASTIDOR HAPPYJAPAN DE 32X32 CM.;1;product
8319;GBDBXK5-RG;AGUJA DBXK5 RG 10 uds;3511;;AGUJA DBXK5 RG 10 uds;9;product
8335;MERROW MG-3U;MERROW MG-3U;3510;MERROW MG-3U;MERROW MG-3U;1;product
8336;MERROW MG-3U VELCRO;MERROW MG-3U VELCRO;3509;MERROW MG-3U VELCRO;MERROW MG-3U VELCRO;1;product
8350;TSVELLUTEX48X68G;VELLUTEX GRIS;1044;TSVELLUTEX48X68G;VELLUTEX GRIS;1;product
8355;LUBRIBORD;ACEITE EN SPRAY lubribord 400 ml;1191;LUBRIBORD;ACEITE EN SPRAY LUBRIBORD 400 ml;1;product
8357;ACEITEC;ACEITE LIQUIDO,1L.;1217;ACEITEC;ACEITE LIQUIDO,1L.;1;product
8363;GBDBXK5SAN1-RG;AGUJAS DBXK5 RG GEBEDUR san1 10 uds;3505;;AGUJAS DBXK5 RG GEBEDUR san1 10 uds;5;product
8364;GB135X17-R;AGUJAS 135X17-R 10 uds;3496;;AGUJAS 135X17-R 10 uds;10;product
8368;KITBASCAL;KIT COMPLETO BASTIDOR CALCETINES HAPPY;1262;KITBASCAL;KIT COMPLETO BASTIDOR CALCETINES HAPPY;1;product
8371;SPRAY LIMPIADOR GRANDE;DK5 SPRAY LIMPIADOR 500ML;3498;SPRAY LIMPIADOR GRANDE;DK5 SPRAY LIMPIADOR 500ML;1;product
8376;GB134R;AGUJAS 134R 10 uds;3495;;AGUJAS 134R 10 uds;14;product
8377;ACEITE LB5;ACEITE LB5 300 ML.;1425;ACEITE LB5;ACEITE LB5 300 ML.;1;product
8378;DTM-BF;REGULADOR DIGITAL DE TENSIÓN TOWA;1437;DTM-BF;REGULADOR DIGITAL DE TENSIÓN TOWA;1;product
8379;HCD13A30;LUZ HAPPY HCD2/HCD3/HCR2;1493;HCD13A30;LUZ HAPPY HCD2/HCD3/HCR2/HCR3;1;product
