ID producto;Referencia interna;Nombre;Enlazado WC;Origen probable;Stock;Pedidos;Accion recomendada
2314;HCD05A13;"SOPORTE CUCHILLAS HAPPY HCD2 // THREAD CUTTING DEVICE BASE ASS&apos;Y";NO;medio;0.0;0;REVISAR
3209;HCD05A13;SOPORTE CUCHILLAS HAPPY HCD2 // THREAD CUTTING DEVICE BASE ASS'Y;NO;import reciente;0.0;0;ARCHIVAR (copia import)
2592;HCD29540;"REAR COVER (10.4 in) HAPPY (SOPORTE LCD 10&quot;)";NO;medio;0.0;0;REVISAR
3217;HCD29540;"REAR COVER (10.4 in) HAPPY (SOPORTE LCD 10"")";NO;import reciente;0.0;0;ARCHIVAR (copia import)
3043;HCD29572;"CARCASA FRONTAL PANEL 10&quot; HAPPY";NO;medio;0.0;0;REVISAR
3233;HCD29572;"CARCASA FRONTAL PANEL 10"" HAPPY";NO;import reciente;0.0;0;ARCHIVAR (copia import)
1665;HCD72800;"CABLE CONEXIÓN LCD 10&quot; HAPPY";NO;legacy;0.0;0;REVISAR
3189;HCD72800;"CABLE CONEXIÓN LCD 10"" HAPPY";NO;import reciente;0.0;0;ARCHIVAR (copia import)
1926;HCD79621;"MODULO CORE 7&quot; PANEL LCD HAPPY";NO;legacy;0.0;0;REVISAR
3197;HCD79621;"MODULO CORE 7"" PANEL LCD HAPPY";NO;import reciente;0.0;0;ARCHIVAR (copia import)
1028;HCD79720;DRIVER MOVIMIENTOS X, Y, A. PARA MÁQUINA DE BORDAR HAPPY MODELO HCU. SERVOPACK 200V YASKAWA.;NO;legacy;0.0;0;REVISAR
3167;HCD79720;"DRIVER MOVIMIENTOS X, Y, A. PARA MÁQUINA DE BORDAR HAPPY MODELO HCU.
SERVOPACK 200V YASKAWA.";NO;medio;0.0;0;REVISAR
3137;HCD81022;"LCD ATA CIRCUIT BOARD (Pb FREE) ASSY HAPPY &quot;HCS LCD COLOR&quot;";NO;medio;0.0;0;REVISAR
3237;HCD81022;"LCD ATA CIRCUIT BOARD (Pb FREE) ASSY HAPPY ""HCS LCD COLOR""";NO;import reciente;0.0;0;ARCHIVAR (copia import)
1125;HCD81092H;"PLACA DE POSICION &quot;L&quot; Y &quot;C&quot; HAPPY HCD2 (TIMING BOARD)";NO;legacy;0.0;0;REVISAR
3170;HCD81092H;"PLACA DE POSICION ""L"" Y ""C"" HAPPY HCD2 (TIMING BOARD)";NO;medio;0.0;0;REVISAR
1121;HCD81093;"CONJUNTO PLACA DE POSICION &quot;L&quot; Y &quot;C&quot; HAPPY HCD2 (TIMING BOARD)";NO;legacy;0.0;0;REVISAR
3169;HCD81093;"CONJUNTO PLACA DE POSICION ""L"" Y ""C"" HAPPY HCD2 (TIMING BOARD)";NO;medio;0.0;0;REVISAR
2428;HCDU37A41;"BASTIDOR PORTAL &quot;X&quot; HAPPY HCD2-X (400X1200).";NO;medio;0.0;0;REVISAR
3211;HCDU37A41;"BASTIDOR PORTAL ""X"" HAPPY HCD2-X (400X1200).";NO;import reciente;0.0;0;ARCHIVAR (copia import)
