ID producto;Referencia interna;Nombre;Num pedidos;Stock;Nota
2056;0888 150734;INTERIOR DK 888 (caja bobina);1;0.0;CONSERVAR - tiene historial ventas
1256;NYLONNEGRO;PRO-NYLON PARA EL BORDADO (1,6m) NEGRO;1;0.0;CONSERVAR - tiene historial ventas
1226;GB134R-90;AGUJAS 134R-90;1;0.0;CONSERVAR - tiene historial ventas
1149;ESP4R;ESPUMA4ROJA;1;0.0;CONSERVAR - tiene historial ventas
2144;HCS04012;TAPA GARFIO/CUBRESPIRAL HAPPY HCS3;1;0.0;CONSERVAR - tiene historial ventas
2122;SAAA03006;TORNILLO CUCHILLA FIJA y RETENEDOR GARFIO HAPPY HCD/HCR Y OTROS;1;0.0;CONSERVAR - tiene historial ventas
2874;MM244C;TIJERAS MM CURVA 11CM;1;0.0;CONSERVAR - tiene historial ventas
3341;;PICAJE ALL YOURS;1;0.0;CONSERVAR - tiene historial ventas
3343;;conos varios;1;0.0;CONSERVAR - tiene historial ventas
3352;;POLY1761;1;0.0;CONSERVAR - tiene historial ventas
3353;;ORO 4007;1;0.0;CONSERVAR - tiene historial ventas
3354;;PLATA 4011;1;0.0;CONSERVAR - tiene historial ventas
3355;;POLY1767;1;0.0;CONSERVAR - tiene historial ventas
3345;LTB1878;LTB1878;1;0.0;CONSERVAR - tiene historial ventas
2527;HCS04A20;CUCHILLA MOVIL HAPPY HCS3;1;0.0;CONSERVAR - tiene historial ventas
3312;LTB1709;COLOR 1709;1;0.0;CONSERVAR - tiene historial ventas
3360;;COLOR 1843;1;0.0;CONSERVAR - tiene historial ventas
3346;LTB1902;LTB1902;1;0.0;CONSERVAR - tiene historial ventas
3359;LTB1843;LTB1843;1;0.0;CONSERVAR - tiene historial ventas
3366;;AGUJAS 134S-80;1;0.0;CONSERVAR - tiene historial ventas
3358;;PICAJE GLO&BEAUTY;1;0.0;CONSERVAR - tiene historial ventas
988;GBDBXK5-70RG;AGUJA DBXK5 70RG;1;0.0;CONSERVAR - tiene historial ventas
3365;[GBB27-100RG];AGUJAS B27-100RG;1;0.0;CONSERVAR - tiene historial ventas
3363;[GBB27-90RG];AGUJAS B27-90RG;1;0.0;CONSERVAR - tiene historial ventas
1463;GB134D-80;AGUJAS 134D-80;1;0.0;CONSERVAR - tiene historial ventas
3380;GB134-35LR-140;AGUJAS 134-35LR-140;1;0.0;CONSERVAR - tiene historial ventas
3374;;CORREA REDUCTORA X ZSK;1;0.0;CONSERVAR - tiene historial ventas
