odoo_id;sku;nombre;odoo_list_price;wc_regular_price;neto_esperado;status;delta_actual_vs_esperado;wc_id
670;P-70104;FISPOLY40, P-70104;4.5;5.45;4.5;OK_NETO;0.0;8227
2876;MM246;TIJERAS MM 15,5CM;21.68;26.233;21.68;OK_NETO;0.0;1190139
668;P-70159;FISPOLY40, P-70159;4.5;5.45;4.5;OK_NETO;0.0;8224
3485;244C;TIJERAS MILLEMETRI CURVA 11CM;23.83;23.825;19.69;MAL_COPIADO_BRUTO;4.14;1190133
2875;MM244;TIJERAS MM RECTA 11CM;19.69;23.825;19.69;OK_NETO;0.0;1190130
665;P-70142;FISPOLY40, P-70142;4.5;5.45;4.5;OK_NETO;0.0;8220
3487;ST-M0905;"MIGHTYHOOP 8,7 X 4,9"" ECO";211.75;211.75;175.0;MAL_COPIADO_BRUTO;36.75;1190084
663;P-70134;FISPOLY40, P-70134;4.5;5.45;4.5;OK_NETO;0.0;8217
2936;P-10362;FISPOLY40, P-10362;4.5;5.445;4.5;OK_NETO;0.0;1190019
658;P-70160;FISPOLY40, P-70160;4.5;5.45;4.5;OK_NETO;0.0;8212
657;P-70136;FISPOLY40, P-70136;4.5;5.45;4.5;OK_NETO;0.0;8210
3489;HOT MELT FILM PA100 (100MICRONES);HOT MELT (FILM TERMOADHESIVO);8.13;8.13;6.72;MAL_COPIADO_BRUTO;1.41;1189974
654;P-70113;FISPOLY40, P-70113;4.5;5.45;4.5;OK_NETO;0.0;8208
2872;TIJBLA;TIJERAS 10 CM CURVAS PARA EL BORDADO;8.0;9.68;8.0;OK_NETO;0.0;1189968
652;P-70267;FISPOLY40, P-70267;4.5;5.45;4.5;OK_NETO;0.0;8206
651;P-46600;FISPOLY40, P-46600;4.5;5.45;4.5;OK_NETO;0.0;8204
643;P-50136;FISPOLY40, P-50136;4.5;5.45;4.5;OK_NETO;0.0;8202
640;P-50149;FISPOLY40, P-50149;4.5;5.45;4.5;OK_NETO;0.0;8200
639;P-50158;FISPOLY40, P-50158;4.5;5.45;4.5;OK_NETO;0.0;8198
637;P-50106;FISPOLY40, P-50106;4.5;5.45;4.5;OK_NETO;0.0;8196
636;P-56047;FISPOLY40, P-56047;4.5;5.45;4.5;OK_NETO;0.0;8194
3491;ISAMET 2943-0511;HILO METÁLICO ISAMET PLATA 0511;23.51;28.447;23.51;OK_NETO;0.0;1189936
635;P-20114;FISPOLY40, P-20114;4.5;5.45;4.5;OK_NETO;0.0;8192
3492;ISAMET 2943-0501;HILO METÁLICO ISAMET PLATA 0501;23.51;28.447;23.51;OK_NETO;0.0;1189934
628;P-60125;FISPOLY40, P-60125;4.5;5.45;4.5;OK_NETO;0.0;8190
3493;ISAMET 2943-0493;HILO METÁLICO ISAMET ORO 0493;23.51;28.447;23.51;OK_NETO;0.0;1189932
3494;ISAMET 2943-0491;HILO METÁLICO ISAMET ORO 0491;23.51;28.447;23.51;OK_NETO;0.0;1189929
622;P-60138;FISPOLY40, P-60138;4.5;5.45;4.5;OK_NETO;0.0;8188
736;P-20104;FISPOLY40, P-20104;4.5;5.45;4.5;OK_NETO;0.0;1191577
620;P-50279;FISPOLY40, P-50279;4.5;5.45;4.5;OK_NETO;0.0;8186
539;P-50103;FISPOLY40, P-50103;4.5;5.45;4.5;OK_NETO;0.0;1191529
613;P-56038;FISPOLY40, P-56038;4.5;5.45;4.5;OK_NETO;0.0;8184
735;P-10117;FISPOLY40, P-10117;4.5;5.45;4.5;OK_NETO;0.0;1191528
611;P-10154;FISPOLY40, P-10154;4.5;5.45;4.5;OK_NETO;0.0;8181
734;P-26796;FISPOLY40, P-26796;4.5;5.45;4.5;OK_NETO;0.0;1191527
608;P-56037;FISPOLY40, P-56037;4.5;5.45;4.5;OK_NETO;0.0;8177
733;P-26787;FISPOLY40, P-26787;4.5;5.45;4.5;OK_NETO;0.0;1191526
606;P-10144;FISPOLY40, P-10144;4.5;5.45;4.5;OK_NETO;0.0;8174
732;P-26783;FISPOLY40, P-26783;4.5;5.45;4.5;OK_NETO;0.0;1191525
540;P-10111;FISPOLY40, P-10111;4.5;5.45;4.5;OK_NETO;0.0;1191524
1262;KITBASCAL;KIT COMPLETO BASTIDOR CALCETINES HAPPY;485.0;586.85;485.0;OK_NETO;0.0;8368
545;P-36706;FISPOLY40, P-36706;4.5;5.45;4.5;OK_NETO;0.0;1191523
3496;;AGUJAS 135X17-R 10 uds;0.0;;;SIN_SKU;;
3497;LTB-1980;COLOR 1980;4.54;4.54;3.75;MAL_COPIADO_BRUTO;0.79;1191497
3499;LTB-1624;COLOR 1624;4.54;4.54;3.75;MAL_COPIADO_BRUTO;0.79;1191495
3500;LTB-1800;COLOR 1800 (NEGRO);4.54;4.54;3.75;MAL_COPIADO_BRUTO;0.79;1191494
3502;LTB-1765;COLOR 1765;4.54;4.54;3.75;MAL_COPIADO_BRUTO;0.79;1191493
3503;LTB-1801;COLOR 1801 (BLANCO);4.54;4.54;3.75;MAL_COPIADO_BRUTO;0.79;1191492
3504;LTB-1838;COLOR 1838;4.54;4.54;3.75;MAL_COPIADO_BRUTO;0.79;1191395
731;P-10122;FISPOLY40, P-10122;4.5;5.45;4.5;OK_NETO;0.0;1191190
3505;;AGUJAS DBXK5 RG GEBEDUR san1 10 uds;0.0;;;SIN_SKU;;
730;P-10109;FISPOLY40, P-10109;4.5;5.45;4.5;OK_NETO;0.0;1191188
729;P-36700;FISPOLY40, P-36700;4.5;5.45;4.5;OK_NETO;0.0;1191187
