ID producto;Referencia interna;Nombre;Origen;Stock;Pedidos;Accion recomendada
3338;ISA-0010;HILO ISACORD 0010 (BLANCO);import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3339;ISA-0020;HILO ISACORD 0020 (NEGRO);import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3356;ISAMET 0511;HILO ISAMET 40 5000M METAL 0511;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3424;ISAMET0490;HILO ISAMET 40 5000M METAL 0490;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3397;ISAMET0491;HILO ISAMET 40 5000M METAL 0491;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3394;ISAMET0493;HILO ISAMET 40 5000M METAL 0493;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3434;JACK JK -E4S-5-03/233;JACK JK -E4S-5-03/233;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3471;LASER KX1390-F;LASER KASU CON RECONOCIMIENTO POR CÁMARA;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3439;LB230070;BASE DE BLOQUE BARUDAN;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3292;LTB1528;COLOR 1528;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3293;LTB1538;COLOR 1538;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3294;LTB1611;COLOR 1611;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3295;LTB1614;COLOR 1614;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3296;LTB1615;COLOR 1615;import reciente;0.0;2;REVISAR: enlazar manualmente o archivar si no esta en WC
3297;LTB1616;COLOR 1616;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3301;LTB1619;COLOR 1619;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
