Categoria;Accion recomendada;Prioridad;ID Odoo;ID WooCommerce;Referencia interna;SKU WC;Nombre;Enlazado WC;Origen;Stock;Pedidos;Variantes;Tipo producto Odoo;Producto relacionado ID;Producto relacionado nombre;Causa / motivo;Notas
DUPLICADO IMPORT;ARCHIVAR;ALTA;3204;;ST-M0505-W;;"""MARCO"" MIGHTYHOOP 5,5"" ECO";NO;import reciente (copia);0;0;;;2206;MARCO MIGHTYHOOP 5,5 ECO;"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2206
DUPLICADO IMPORT;ARCHIVAR;ALTA;3194;;ST-M0608-HA360;;"MIGHTYHOOP 6"" X 8"" ECO";NO;import reciente (copia);0;0;;;1723;"MIGHTYHOOP 6&quot; X 8&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1723
DUPLICADO IMPORT;ARCHIVAR;ALTA;3191;;ST-M0803-HA360;;"MIGHTYHOOP 7,75"" X 2,75"" ECO";NO;import reciente (copia);0;0;;;1719;"MIGHTYHOOP 7,75&quot; X 2,75&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1719
DUPLICADO IMPORT;ARCHIVAR;ALTA;3231;;ST-M0809-HA360;;"MIGHTYHOOP 8,5 X 9"" ECO";NO;import reciente (copia);0;0;;;2991;"MIGHTYHOOP 8,5 X 9&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2991
DUPLICADO IMPORT;ARCHIVAR;ALTA;3190;;ST-M0813-HA500;;"MIGHTYHOOP 8 X 13"" ECO";NO;import reciente (copia);0;0;;;1716;"MIGHTYHOOP 8 X 13&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1716
DUPLICADO IMPORT;ARCHIVAR;ALTA;3230;;ST-M0905-HA360;;"MIGHTYHOOP 8,7 X 4,9"" ECO";NO;import reciente (copia);0;0;;;2990;"MIGHTYHOOP 8,7 X 4,9&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2990
DUPLICADO IMPORT;ARCHIVAR;ALTA;3228;;ST-M1010;;"""MARCO"" MIGHTYHOOP 10"" ECO";NO;import reciente (copia);0;0;;;2950;MARCO MIGHTYHOOP 10 ECO;"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2950
DUPLICADO IMPORT;ARCHIVAR;ALTA;3226;;ST-M1212-HA500;;"MIDGHTYHOOP 12 X 12"" ECO";NO;import reciente (copia);0;0;;;2948;MIDGHTYHOOP 12 X 12 ECO;"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2948
DUPLICADO IMPORT;ARCHIVAR;ALTA;3220;;ST-M1304-HA500;;"MIGHTYHOOP 12,6"" X 3,9"" ECO";NO;import reciente (copia);0;0;;;2719;"MIGHTYHOOP 12,6&quot; X 3,9&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2719
DUPLICADO IMPORT;ARCHIVAR;ALTA;3192;;ST-M1316-HA500;;"MIGHTYHOOP 12,5"" X 15,5"" ECO";NO;import reciente (copia);0;0;;;1721;"MIGHTYHOOP 12,5&quot; X 15,5&quot; ECO";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 1721
DUPLICADO IMPORT;ARCHIVAR;ALTA;3227;;ST-M1716-HA500;;"MIGHTYHOOP 17 X 16""";NO;import reciente (copia);0;0;;;2949;"MIGHTYHOOP 17 X 16&quot;";"Mismo SKU que producto legacy; copia del import sin enlace WC";Conservar producto ID 2949
